Name	Set	ImageFile	CardType	Cost	Attribute	AttributeCondition	BasicMana	LandName	Strength	Defense	UsageTiming	SpecialSkill
Precocious Basket Fish	core	c090ed	Support	1	Water	Wa					Cancel	
Pirate Penguin Raid	core	c091ed	Support	3	Water	WaWa					Main Phase	
Diana's Slumber	core	c092ed	Support	3	Light	L					Main Phase	
Florina's Teardrop Crystal	core	c093ed	Support	3	Light	L					Main Phase	
Miss Yuka's Retort	core	c094ed	Support	1	Light	L					Main Phase	
Nouvelle's Prayer	core	c095ed	Support	1	Light	L					In Battle	
Olbohn's Judgement	core	c096ed	Support	3	Dark	D					Main Phase	
Professor Thesenis's Unexpected Appearance	core	c097ed	Support	3	Dark	D					In Battle	
Belle's Selfish Nightmare	core	c098ed	Support	4	Dark	D					Cancel	
Shadole's Invitation to Death	core	c099ed	Support	1	Dark	D					In Battle	
Teapo's Afternoon Tea	core	c100ed	Support	2	Gold	G					Main Phase	
Alex's Jewelry Appraisal	core	c101ed	Support	1	Gold	G					Main Phase	
Summoner Nunuzac	core	c102ed	Support	3	Gold	G					Main Phase	
Kristie's Auction Time	core	c103ed	Support	2	Gold	G					In Battle	
Lil' Cactus Dairy	core	c104ed	Support	2	Wood	Wo					Main Phase	
Sproutling's Returning Place	core	c105ed	Support	4	Wood	Wo					Main Phase	
Boink	core	c106ed	Support	1	Wood	Wo					Main Phase	
Trent's Fruiting Time	core	c107ed	Support	3	Wood	Wo					Main Phase	
Hero	core	c108ed,chback	Character						4	2	Replenishment	
Heroine	core	c109ed,chback	Character						3	3	Replenishment	
Niccolo	core	c110ed,chback	Character						1	4	End of Battle	
Escad	core	c111ed,chback	Character						4	4	In Battle	
Daena	core	c112ed,chback	Character						3	3	In Battle	
Larc	core	c113ed,chback	Character						4	2	End of Battle	
Sierra	core	c114ed,chback	Character						4	3	In Battle	
Princess Pearl	core	c115ed,chback	Character						2	2	In Battle	
Lady Blackpearl	core	c116ed,chback	Character						3	3	Always	
Elazul	core	c117ed,chback	Character						3	2	In Battle	
Elle	core	c118ed,chback	Character						3	1	Main Phase	
Bud	core	c119ed,chback	Character						2	1	Always	
Lisa	core	c120ed,chback	Character						1	2	Always	
Matilda	core	c121ed,chback	Character						2	2	Always	
Sandra	core	c122ed,chback	Character						4	1	End of Battle	
Rabite	core	c123ed,chback	Character						2	3	Main Phase	
Gilbert	core	c124ed,chback	Character						0	4	Cancel	
Rubens	core	c125ed,chback	Character						3	3	In Battle	
Roger	core	c126ed,chback	Character						3	4	Main Phase	
Cap'n Tusk	core	c127ed,chback	Character						4	3	End of Battle	
Skippie	core	c128ed,chback	Character						2	3	Main Phase	
Hamson	core	c129ed,chback	Character						6	2		
Machine Golem Mark I	core	c130ed,chback	Character						3	3	In Battle	
Machine Golem Mark 44	core	c131ed,chback	Character						1	5	In Battle	
Laurent Knife	core	c132ed	Item	1								
Orichalcum Sword	core	c133ed	Item	3								
Jacobini Axe	core	c134ed	Item	2								
Scale 2H Sword	core	c135ed	Item	3								
Vinek 2H Axe	core	c136ed	Item	1								
Bone Hammer	core	c137ed	Item	1								
Fullmetal Spear	core	c138ed	Item	2								
Ishe Staff	core	c139ed	Item	1								
Swifty Gloves	core	c140ed	Item	4								
Wendel Flail	core	c141ed	Item	2								
Obsidian Bow	core	c142ed	Item	1								
Wyvern Flute	core	c143ed	Item	2	Fire							
Beiser Harp	core	c144ed	Item	2	Light							
Ivory Flute	core	c145ed	Item	2	Earth							
Dior Harp	core	c146ed	Item	2	Dark							
Lizard Marimba	core	c147ed	Item	2	Wind							
Beiser Drum	core	c148ed	Item	2	Wood							
Teardrop Marimba	core	c149ed	Item	2	Water							
Stone Drum	core	c150ed	Item	2	Gold							
